research_scope,source_dof,seeds,trees,rate_profile,loss,receivers,feedback_rtt_ticks,protocol,tree_index,emissions_sum,available_opportunities_sum,utilization
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,8,pooled_carousel,1,2100736,2100736,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,64,equal_split_striping,0,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,64,equal_split_striping,1,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,64,rate_proportional_striping,0,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,64,rate_proportional_striping,1,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,64,per_stripe_fec,0,2097152,2097152,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,64,per_stripe_fec,1,2097152,2097152,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,64,pooled_rounds,0,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,64,pooled_rounds,1,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,64,pooled_carousel,0,2129408,2129408,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,64,pooled_carousel,1,2129408,2129408,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,512,equal_split_striping,0,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,512,equal_split_striping,1,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,512,rate_proportional_striping,0,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,512,rate_proportional_striping,1,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,512,per_stripe_fec,0,2097152,2097152,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,512,per_stripe_fec,1,2097152,2097152,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,512,pooled_rounds,0,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,512,pooled_rounds,1,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,512,pooled_carousel,0,2358784,2358784,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,3,512,pooled_carousel,1,2358784,2358784,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,equal_split_striping,0,2097152,2100736,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,equal_split_striping,1,2097152,2100736,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,rate_proportional_striping,0,2097152,2100736,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,rate_proportional_striping,1,2097152,2100736,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,per_stripe_fec,0,2097152,2097152,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,per_stripe_fec,1,2097152,2097152,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_rounds,0,2097152,2100736,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_rounds,1,2097152,2100736,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_carousel,0,2100736,2100736,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_carousel,1,2100736,2100736,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,equal_split_striping,0,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,equal_split_striping,1,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,rate_proportional_striping,0,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,rate_proportional_striping,1,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,per_stripe_fec,0,2097152,2097152,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,per_stripe_fec,1,2097152,2097152,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_rounds,0,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_rounds,1,2097152,2129408,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_carousel,0,2129408,2129408,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_carousel,1,2129408,2129408,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,equal_split_striping,0,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,equal_split_striping,1,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,rate_proportional_striping,0,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,rate_proportional_striping,1,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,per_stripe_fec,0,2097152,2097152,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,per_stripe_fec,1,2097152,2097152,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_rounds,0,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_rounds,1,2097152,2358784,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_carousel,0,2358784,2358784,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_carousel,1,2358784,2358784,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,1,8,equal_split_striping,0,2107698,2116941,0.995633794
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,1,8,equal_split_striping,1,2107646,2116941,0.995609230
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,1,8,rate_proportional_striping,0,2107698,2116941,0.995633794
