research_scope,source_dof,seeds,trees,rate_profile,loss,receivers,feedback_rtt_ticks,protocol,receiver_index,completion_ticks_sum,mean_completion_ticks,p95_completion_ticks
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_carousel,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_carousel,1,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_carousel,2,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_carousel,3,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_carousel,4,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_carousel,5,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_carousel,6,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,8,pooled_carousel,7,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,equal_split_striping,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,equal_split_striping,1,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,equal_split_striping,2,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,equal_split_striping,3,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,equal_split_striping,4,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,equal_split_striping,5,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,equal_split_striping,6,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,equal_split_striping,7,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,rate_proportional_striping,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,rate_proportional_striping,1,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,rate_proportional_striping,2,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,rate_proportional_striping,3,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,rate_proportional_striping,4,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,rate_proportional_striping,5,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,rate_proportional_striping,6,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,rate_proportional_striping,7,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,per_stripe_fec,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,per_stripe_fec,1,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,per_stripe_fec,2,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,per_stripe_fec,3,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,per_stripe_fec,4,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,per_stripe_fec,5,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,per_stripe_fec,6,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,per_stripe_fec,7,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_rounds,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_rounds,1,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_rounds,2,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_rounds,3,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_rounds,4,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_rounds,5,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_rounds,6,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_rounds,7,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_carousel,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_carousel,1,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_carousel,2,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_carousel,3,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_carousel,4,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_carousel,5,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_carousel,6,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,64,pooled_carousel,7,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,equal_split_striping,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,equal_split_striping,1,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,equal_split_striping,2,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,equal_split_striping,3,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,equal_split_striping,4,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,equal_split_striping,5,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,equal_split_striping,6,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,equal_split_striping,7,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,rate_proportional_striping,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,rate_proportional_striping,1,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,rate_proportional_striping,2,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,rate_proportional_striping,3,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,rate_proportional_striping,4,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,rate_proportional_striping,5,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,rate_proportional_striping,6,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,rate_proportional_striping,7,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,per_stripe_fec,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,per_stripe_fec,1,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,per_stripe_fec,2,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,per_stripe_fec,3,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,per_stripe_fec,4,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,per_stripe_fec,5,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,per_stripe_fec,6,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,per_stripe_fec,7,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_rounds,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_rounds,1,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_rounds,2,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_rounds,3,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_rounds,4,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_rounds,5,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_rounds,6,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_rounds,7,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_carousel,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_carousel,1,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_carousel,2,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_carousel,3,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,8,512,pooled_carousel,4,2097152,4096.000000,4096
